"seqnames","start","end","width","strand","name"
"1",11868,14409,2542,"*","ENSG00000223972.5"
"1",14403,29570,15168,"*","ENSG00000227232.5"
"1",17368,17436,69,"*","ENSG00000278267.1"
"1",29553,31109,1557,"*","ENSG00000243485.5"
"1",30365,30503,139,"*","ENSG00000284332.1"
"1",34553,36081,1529,"*","ENSG00000237613.2"
"1",52472,53312,841,"*","ENSG00000268020.3"
"1",57597,64116,6520,"*","ENSG00000240361.2"
"1",65418,71585,6168,"*","ENSG00000186092.6"
"1",89294,133723,44430,"*","ENSG00000238009.6"
"1",89550,91105,1556,"*","ENSG00000239945.1"
"1",131024,134836,3813,"*","ENSG00000233750.3"
"1",135140,135895,756,"*","ENSG00000268903.1"
"1",137681,137965,285,"*","ENSG00000269981.1"
"1",139789,140339,551,"*","ENSG00000239906.1"
"1",141473,173862,32390,"*","ENSG00000241860.7"
"1",157783,157887,105,"*","ENSG00000222623.1"
"1",160445,161525,1081,"*","ENSG00000241599.1"
"1",182695,184174,1480,"*","ENSG00000279928.2"
"1",185216,195411,10196,"*","ENSG00000279457.4"
"1",187890,187958,69,"*","ENSG00000273874.1"
"1",257863,359681,101819,"*","ENSG00000228463.10"
"1",266854,268655,1802,"*","ENSG00000286448.1"
"1",347981,348366,386,"*","ENSG00000236679.2"
"1",358856,366052,7197,"*","ENSG00000236601.2"
"1",365388,522928,157541,"*","ENSG00000237094.12"
"1",439869,440232,364,"*","ENSG00000269732.1"
"1",450702,451697,996,"*","ENSG00000284733.1"
"1",487100,489906,2807,"*","ENSG00000233653.3"
"1",491224,493241,2018,"*","ENSG00000250575.1"
"1",516375,516479,105,"*","ENSG00000278757.1"
"1",586070,827796,241727,"*","ENSG00000230021.10"
"1",587628,594768,7141,"*","ENSG00000235146.2"
"1",629061,629433,373,"*","ENSG00000225972.1"
"1",629639,630683,1045,"*","ENSG00000225630.1"
"1",631073,632616,1544,"*","ENSG00000237973.1"
"1",632324,632413,90,"*","ENSG00000278791.1"
"1",632756,633438,683,"*","ENSG00000229344.1"
"1",633534,633741,208,"*","ENSG00000240409.1"
"1",633695,634376,682,"*","ENSG00000248527.1"
"1",634375,634922,548,"*","ENSG00000198744.5"
"1",674841,675265,425,"*","ENSG00000268663.1"
"1",685678,686673,996,"*","ENSG00000284662.1"
"1",722091,724903,2813,"*","ENSG00000229376.3"
"1",725884,778626,52743,"*","ENSG00000228327.3"
"1",758232,758336,105,"*","ENSG00000223181.1"
"1",760910,761989,1080,"*","ENSG00000229905.1"
"1",778746,810065,31320,"*","ENSG00000237491.10"
"1",781936,782050,115,"*","ENSG00000285268.1"
"1",800878,817712,16835,"*","ENSG00000230092.7"
"1",817370,819837,2468,"*","ENSG00000177757.2"
"1",825137,868202,43066,"*","ENSG00000228794.9"
"1",826205,827522,1318,"*","ENSG00000225880.5"
"1",868070,876903,8834,"*","ENSG00000230368.2"
"1",873291,874349,1059,"*","ENSG00000234711.1"
"1",874528,877234,2707,"*","ENSG00000283040.1"
"1",904833,915976,11144,"*","ENSG00000272438.1"
"1",911434,914948,3515,"*","ENSG00000230699.2"
"1",914170,914971,802,"*","ENSG00000241180.1"
"1",916864,921016,4153,"*","ENSG00000223764.2"
"1",923927,944581,20655,"*","ENSG00000187634.12"
"1",944202,959309,15108,"*","ENSG00000188976.11"
"1",960583,965719,5137,"*","ENSG00000187961.14"
"1",966481,975865,9385,"*","ENSG00000187583.11"
"1",975203,982093,6891,"*","ENSG00000187642.9"
"1",995965,998051,2087,"*","ENSG00000272512.1"
"1",998961,1000172,1212,"*","ENSG00000188290.10"
"1",1001137,1014540,13404,"*","ENSG00000187608.10"
"1",1008075,1008229,155,"*","ENSG00000231702.2"
"1",1011996,1013193,1198,"*","ENSG00000224969.1"
"1",1020119,1056118,36000,"*","ENSG00000188157.15"
"1",1055032,1056116,1085,"*","ENSG00000242590.1"
"1",1059707,1069355,9649,"*","ENSG00000217801.10"
"1",1062207,1063288,1082,"*","ENSG00000273443.1"
"1",1070966,1074306,3341,"*","ENSG00000237330.3"
"1",1081817,1116361,34545,"*","ENSG00000131591.17"
"1",1097584,1104598,7015,"*","ENSG00000285812.1"
"1",1137016,1144056,7041,"*","ENSG00000223823.1"
"1",1167103,1167198,96,"*","ENSG00000207730.3"
"1",1167862,1167952,91,"*","ENSG00000207607.3"
"1",1169004,1169087,84,"*","ENSG00000198976.1"
"1",1169356,1170343,988,"*","ENSG00000272141.1"
"1",1173055,1179555,6501,"*","ENSG00000205231.1"
"1",1173883,1197935,24053,"*","ENSG00000162571.13"
"1",1203507,1206592,3086,"*","ENSG00000186891.14"
"1",1211339,1214153,2815,"*","ENSG00000186827.11"
"1",1216907,1232067,15161,"*","ENSG00000078808.17"
"1",1232236,1235041,2806,"*","ENSG00000176022.7"
"1",1242445,1246722,4278,"*","ENSG00000184163.3"
"1",1249776,1251334,1559,"*","ENSG00000260179.1"
"1",1253908,1273885,19978,"*","ENSG00000160087.20"
"1",1275222,1280420,5199,"*","ENSG00000230415.1"
"1",1280435,1292029,11595,"*","ENSG00000162572.21"
"1",1292389,1309609,17221,"*","ENSG00000131584.19"
"1",1296109,1296170,62,"*","ENSG00000278073.1"
"1",1308596,1311677,3082,"*","ENSG00000169972.12"
"1",1311584,1324691,13108,"*","ENSG00000127054.20"
"1",1312501,1312566,66,"*","ENSG00000283712.1"
"1",1317580,1318689,1110,"*","ENSG00000240731.1"
"1",1324755,1328896,4142,"*","ENSG00000224051.7"
"1",1331279,1335314,4036,"*","ENSG00000169962.5"
"1",1335275,1349418,14144,"*","ENSG00000107404.20"
"1",1339649,1339708,60,"*","ENSG00000284372.1"
"1",1352688,1361777,9090,"*","ENSG00000162576.16"
"1",1373729,1375495,1767,"*","ENSG00000175756.13"
"1",1378665,1379032,368,"*","ENSG00000223663.2"
"1",1385710,1399335,13626,"*","ENSG00000221978.12"
"1",1399519,1402046,2528,"*","ENSG00000224870.7"
"1",1401908,1407293,5386,"*","ENSG00000242485.6"
"1",1405459,1405752,294,"*","ENSG00000264293.2"
"1",1409095,1410618,1524,"*","ENSG00000272455.1"
"1",1418419,1421769,3351,"*","ENSG00000235098.8"
"1",1420244,1422691,2448,"*","ENSG00000225905.1"
"1",1426127,1427787,1661,"*","ENSG00000205116.3"
"1",1430538,1434573,4036,"*","ENSG00000225285.1"
"1",1434860,1442882,8023,"*","ENSG00000179403.12"
"1",1449688,1470163,20476,"*","ENSG00000215915.10"
"1",1471764,1497848,26085,"*","ENSG00000160072.20"
"1",1503249,1509452,6204,"*","ENSG00000284740.1"
"1",1512161,1534685,22525,"*","ENSG00000197785.14"
"1",1534777,1540624,5848,"*","ENSG00000205090.9"
"1",1541672,1574863,33192,"*","ENSG00000160075.12"
"1",1574101,1577075,2975,"*","ENSG00000215014.5"
"1",1583509,1583909,401,"*","ENSG00000274481.1"
"1",1598011,1600135,2125,"*","ENSG00000228594.4"
"1",1600313,1602703,2391,"*","ENSG00000286989.1"
"1",1613757,1615795,2039,"*","ENSG00000272106.1"
"1",1615414,1630610,15197,"*","ENSG00000197530.12"
"1",1632162,1635263,3102,"*","ENSG00000189409.14"
"1",1635226,1659012,23787,"*","ENSG00000248333.8"
"1",1659324,1662602,3279,"*","ENSG00000272004.1"
"1",1659528,1692795,33268,"*","ENSG00000189339.12"
"1",1671989,1674397,2409,"*","ENSG00000269737.2"
"1",1699941,1701782,1842,"*","ENSG00000215914.4"
"1",1702378,1724357,21980,"*","ENSG00000008128.23"
"1",1702735,1737688,34954,"*","ENSG00000268575.1"
"1",1724511,1737251,12741,"*","ENSG00000227775.3"
"1",1724837,1745999,21163,"*","ENSG00000215790.7"
"1",1751231,1780457,29227,"*","ENSG00000008130.15"
"1",1785284,1891117,105834,"*","ENSG00000078369.18"
"1",1891470,1892658,1189,"*","ENSG00000231050.1"
"1",1915107,1917296,2190,"*","ENSG00000169885.10"
"1",1917589,1919279,1691,"*","ENSG00000178821.13"
"1",1921950,2003837,81888,"*","ENSG00000142609.18"
"1",2013212,2015639,2428,"*","ENSG00000233542.2"
"1",2019328,2030758,11431,"*","ENSG00000187730.9"
"1",2049202,2050070,869,"*","ENSG00000226969.1"
"1",2050410,2185395,134986,"*","ENSG00000067606.17"
"1",2141083,2145279,4197,"*","ENSG00000271806.1"
"1",2181793,2184389,2597,"*","ENSG00000182873.5"
"1",2184460,2212720,28261,"*","ENSG00000162585.17"
"1",2212522,2220738,8217,"*","ENSG00000234396.3"
"1",2228318,2310213,81896,"*","ENSG00000157933.10"
"1",2315039,2323085,8047,"*","ENSG00000287356.1"
"1",2321252,2391707,70456,"*","ENSG00000116151.14"
"1",2326200,2326693,494,"*","ENSG00000272161.1"
"1",2350413,2352820,2408,"*","ENSG00000269896.2"
"1",2363060,2363628,569,"*","ENSG00000272420.1"
"1",2391774,2405442,13669,"*","ENSG00000157916.20"
"1",2403963,2413797,9835,"*","ENSG00000157911.10"
"1",2425979,2505532,79554,"*","ENSG00000149527.18"
"1",2492299,2493258,960,"*","ENSG00000224387.1"
"1",2493436,2494479,1044,"*","ENSG00000229393.1"
"1",2508536,2526611,18076,"*","ENSG00000157881.15"
"1",2528744,2530263,1520,"*","ENSG00000197921.6"
"1",2530063,2547460,17398,"*","ENSG00000272449.2"
"1",2549919,2557031,7113,"*","ENSG00000238164.6"
"1",2555638,2565382,9745,"*","ENSG00000157873.17"
"1",2566409,2569888,3480,"*","ENSG00000225931.3"
"1",2581559,2584533,2975,"*","ENSG00000228037.1"
"1",2586490,2591469,4980,"*","ENSG00000157870.16"
"1",2590638,2633016,42379,"*","ENSG00000142606.16"
"1",2632567,2636620,4054,"*","ENSG00000237058.1"
"1",2635975,2801717,165743,"*","ENSG00000215912.12"
"1",2768090,2784733,16644,"*","ENSG00000285945.1"
"1",2773602,2776473,2872,"*","ENSG00000283259.1"
"1",2811849,2812692,844,"*","ENSG00000233234.1"
"1",2814055,2817767,3713,"*","ENSG00000287396.1"
"1",2814431,2814998,568,"*","ENSG00000231630.1"
"1",2960657,2968707,8051,"*","ENSG00000284745.1"
"1",3021466,3022903,1438,"*","ENSG00000169717.7"
"1",3059614,3068437,8824,"*","ENSG00000177133.11"
"1",3069167,3438621,369455,"*","ENSG00000142611.17"
"1",3127974,3128035,62,"*","ENSG00000283572.1"
"1",3132926,3133709,784,"*","ENSG00000226286.1"
"1",3205987,3208664,2678,"*","ENSG00000279839.1"
"1",3306635,3310096,3462,"*","ENSG00000272235.1"
"1",3313051,3323149,10099,"*","ENSG00000287828.1"
"1",3367814,3373928,6115,"*","ENSG00000286518.1"
"1",3454664,3481113,26450,"*","ENSG00000130762.15"
"1",3487245,3487627,383,"*","ENSG00000272088.1"
"1",3487950,3611508,123559,"*","ENSG00000162591.16"
"1",3560694,3560790,97,"*","ENSG00000207776.1"
"1",3623189,3624743,1555,"*","ENSG00000238260.1"
"1",3625014,3630127,5114,"*","ENSG00000158109.15"
"1",3630766,3652761,21996,"*","ENSG00000116213.16"
"1",3652515,3736201,83687,"*","ENSG00000078900.15"
"1",3658937,3668772,9836,"*","ENSG00000227589.1"
"1",3712199,3714298,2100,"*","ENSG00000235131.1"
"1",3735510,3747373,11864,"*","ENSG00000227372.12"
"1",3736942,3737103,162,"*","ENSG00000276189.1"
"1",3746459,3771645,25187,"*","ENSG00000162592.10"
"1",3772760,3775982,3223,"*","ENSG00000235169.8"
"1",3778558,3796498,17941,"*","ENSG00000130764.10"
"1",3782814,3783111,298,"*","ENSG00000266075.2"
"1",3785007,3785538,532,"*","ENSG00000272153.1"
"1",3812085,3857214,45130,"*","ENSG00000116198.13"
"1",3857266,3885429,28164,"*","ENSG00000169598.15"
"1",3889124,3900293,11170,"*","ENSG00000198912.11"
"1",3900351,3917225,16875,"*","ENSG00000236423.6"
"1",3940485,3955262,14778,"*","ENSG00000233304.7"
"1",3944546,3949024,4479,"*","ENSG00000226374.3"
"1",3976132,4012704,36573,"*","ENSG00000284668.2"
"1",4012920,4019508,6589,"*","ENSG00000284703.1"
"1",4175527,4175899,373,"*","ENSG00000229280.1"
"1",4412026,4424689,12664,"*","ENSG00000235054.4"
"1",4479130,4484375,5246,"*","ENSG00000284694.1"
"1",4551734,4552145,412,"*","ENSG00000227169.2"
"1",4571480,4594016,22537,"*","ENSG00000232596.3"
"1",4654608,4792534,137927,"*","ENSG00000196581.11"
"1",4730210,4734992,4783,"*","ENSG00000287586.1"
"1",4963953,4973298,9346,"*","ENSG00000284739.1"
"1",4973380,4981568,8189,"*","ENSG00000284674.1"
"1",5086458,5090899,4442,"*","ENSG00000231510.1"
"1",5301927,5307394,5468,"*","ENSG00000284616.1"
"1",5478735,5493057,14323,"*","ENSG00000284692.2"
"1",5480786,5482028,1243,"*","ENSG00000284666.1"
"1",5492977,5494674,1698,"*","ENSG00000260972.1"
"1",5554746,5554881,136,"*","ENSG00000283356.1"
"1",5561708,5668295,106588,"*","ENSG00000236948.2"
"1",5564070,5564143,74,"*","ENSG00000264341.1"
"1",5862671,5862741,71,"*","ENSG00000264101.1"
